I | わたし (私)
You | あなた
That person (polite) | あのひと (あの方 - あのかた)
Suffix added to a name for politeness | ～さん
Suffix often added to a child's name | ～ちゃん
Suffix meaning "suffix for nationality" | ～じん (～人)
Teacher/Instructor | せんせい (先生)
Teacher (referring to one's own occupation) | きょうし (教師)
Student | がくせい (学生)
Company employee | かいしゃいん (会社員)
Employee of ~ company | ～のしゃいん (～の社員)
Bank employee | ぎんこういん (銀行員)
Medical doctor | いしゃ (医者)
Researcher/Scholar | けんきゅうしゃ (研究者)
University | だいがく (大学)
Hospital | びょういん (病院)
Who | だれ (どなた)
How old | さい (～歳) / おいくつ
Yes | はい
No | いいえ
How do you do? (First time meeting) | はじめまして
I am from (country). | ～からきました
Pleased to meet you. | どうぞよろしくおねがいします
Excuse me, but (used when asking personal info) | しつれいですが
May I have your name? | おなまえは？
This is Mr./Ms. ~. | こちらは～さんです
This | これ
That (near listener) | それ
That (far from both) | あれ
This ~ (followed by noun) | この
That ~ (followed by noun, near listener) | その
That ~ (followed by noun, far from both) | あの
Book | ほん (本)
Dictionary | じしょ (辞書)
Magazine | ざっし (雑誌)
Newspaper | しんぶん (新聞)
Notebook | てちょう (手帳)
Business card | めいし (名刺)
Card | カード
Pencil | えんぴつ (鉛筆)
Ballpoint pen | ボールペン
Mechanical pencil | シャープペンシル
Key | かぎ
Watch/Clock | とけい (時計)
Umbrella | かさ (傘)
Bag/Briefcase | かばん
Cassette tape | カセットテープ
Tape recorder | テープレコーダー
Television | テレビ
Radio | ラジオ
Camera | カメラ
Computer | コンピューター
Automobile/Car | じどうしゃ (自動車)
Desk | つくえ (机)
Chair | いす
Chocolate | チョコレート
Coffee | コーヒー
The English language | えいご (英語)
The Japanese language | にほんご (日本語)
What | なん (何)
So / I see | そう
I'm looking forward to working with you. | これからおせわになります
Here | ここ
There (near listener) | そこ
Over there (far from both) | あそこ
Where | どこ
This way (polite) | こちら
That way (polite) | そちら
That way (polite, far) | あちら
Which way / Where (polite) | どちら
Classroom | きょうしつ (教室)
Dining hall/Canteen | しょくどう (食堂)
Office | じむしょ (事務所)
Meeting room | かいぎしつ (会議室)
Reception desk | うけつけ (受付)
Lobby | ロビー
Room | へや (部屋)
Toilet/Restroom | おてあらい (お手洗い) / トイレ
Staircase | かいだん (階段)
Elevator | エレベーター
Escalator | エスカレーター
Vending machine | じどうはんばいき (自動販売機)
Telephone / Phone call | でんわ (電話)
Country | おくに (お国)
Company | かいしゃ (会社)
House/Home | うち
Shoes | くつ (靴)
Necktie | ネクタイ
Wine | ワイン
Sales counter | うりば (売り場)
Basement | ちか (地下)
-th floor | ～かい (～階)
How much | いくら
Hundred | ひゃく (百)
Thousand | せん (千)
Ten thousand | まん (万)
I'll take it. | これをください
Wake up / Get up | おきます (起きる)
Sleep / Go to bed | ねます (寝る)
Work | はたらきます (働く)
Take a rest / Take a holiday | やすみます (休みます)
Study | べんきょうします (勉強します)
